city_name,city_number,cloudiness,country,date,humidity,lat,lon,max_temp,win_peed
Victor Harbor,2059470,34,AU,1613163310,90,-35.5667,138.6167,289.26,0.45
Lapta,146403,20,CY,1613163310,87,35.3375,33.1792,284.15,4.12
Adrar,2381972,0,MR,1613163124,17,20.5022,-10.0711,294.34,5.11
Ajdabiya,89113,0,LY,1613163310,71,30.7554,20.2263,287.27,2.64
Busselton,2075265,0,AU,1613163097,89,-33.65,115.3333,287.04,4.23
Ludvika,2693759,0,SE,1613163134,79,60.1496,15.1878,264.15,5.66
Cherskiy,2126199,0,RU,1613163097,78,68.75,161.3,240.3,0.63
Faanui,4034551,33,PF,1613163136,75,-16.4833,-151.75,300.69,5.99
Louisville,4299276,90,US,1613163093,64,38.2542,-85.7594,272.15,2.06
Tura,1254046,0,IN,1613163169,51,25.5198,90.2201,288.83,0.45
Blagoyevo,576093,77,RU,1613163311,90,63.3667,47.9167,249.47,0.96
Ţahţā,347634,0,EG,1613163176,33,26.7693,31.5021,289.15,4.12
Touros,3386213,40,BR,1613163101,70,-5.1989,-35.4608,302.15,7.2
Gizo Government Station,2108857,99,SB,1613163312,80,-8.103,156.8419,300.22,4.21
Lorengau,2092164,98,PG,1613163093,75,-2.0226,147.2712,301.03,3.32
Narsaq,3421719,75,GL,1613163111,31,60.9167,-46.05,280.15,14.4
Churapcha,2025241,100,RU,1613163312,88,62.0025,132.4325,255.97,2.55
